date	title	cat1	cat2	url	post_text
September 14, 2021	Apply to the Spain Reader Revenue Accelerator	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/accelerator/spain-reader-revenue-digital-subscriptions	
September 9, 2021	Facebook Journalism Project partners with Oxford's Saïd Business School for News Marketing Programme	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-journalism-project-partners-with-oxfords-sad-business-school-for-news-marketing-program	
September 7, 2021	Eight news organizations will participate in the new Wan-Ifra business innovation program in Latin America with Facebook support	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/wanifra_business_innovation_2021	
September 3, 2021	How River Plate generated over $1 million USD in customer lifetime using Facebook and Instagram	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/how-river-plate-generated-over-1-million-usd-in-customer-lifetime-using-facebook-and-instagram	
September 2, 2021	Le Parisien uses Facebook Watch to double its video revenue	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/le-parisien-uses-facebook-watch-to-double-its-video-revenue	
September 2, 2021	Understanding Verification on Facebook and Instagram	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/understanding-verification-on-facebook-instagram	
September 1, 2021	DJ joins Stars Challenge, doubles Stars payout in 6 months | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/suat-facebook-stars-bonus-challenge	
August 31, 2021	The 5 Essential Elements to building a viable media business - School of Splice	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/school-of-splice-2021	
August 26, 2021	Facebook Launches Accelerator Challenge for Global Fact-Checkers to Expand Reach of Reliable Information	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/accelerator-fact-checkers	
August 23, 2021	How APAC Publishers Increased Paid Readership in 2021	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/how-apac-publishers-increased-paid-subscriptions-in-2021	
August 19, 2021	How Gen Halilintar Grew Their Brand & Increased Video Views	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/gen-halilintar-indonesia-brand-growth-facebook	
August 19, 2021	How to engage celebrities for social good initiatives on Facebook	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/social-for-good-vietnam-celebrity-charity-involvement-facebook	
August 16, 2021	Facebook Partners With ADEPA and ICFJ to launch Impulso local in support of local journalism in Argentina	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/adepa-icfj-argentina-impulsolocal	
August 9, 2021	How ONE Championship built a global audience and millions in revenue on Facebook	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/how-one-championship-built-a-global-audience-and-millions-in-revenue-on-facebook	
August 9, 2021	How AAA Created a Virtual Red Carpet and Award Ceremony Experience Through Facebook	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/how-aaa-created-a-virtual-red-carpet-and-award-ceremony-experience-through-facebook	
August 5, 2021	FOPEA and Facebook Journalism Project launch three new programs in Argentina to support journalists and connect communities	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-fopea-argentina-local-news	
August 5, 2021	Facebook partners with BigSpring, CIR and C-CAB to launch mobile upskilling program for Bangladeshi journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-partners-with-cir-and-ccab	
August 4, 2021	Facebook announces AU$15 million news fund and begins the phased launch of Facebook News in Australia	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-invests-in-australia-news-fund-and-launches-facebook-news	
August 3, 2021	32 Organizations Receive Accelerator Alumni Grants Totaling $700,000	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/accelerator-alumni-grants-2021	
August 3, 2021	Facebook Journalism Project partners with SembraMedia to train and mentor local independent startups in Argentina	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/sembramedia-amuna-digital	
August 2, 2021	Instant Articles Bootcamp by Facebook India	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/instant-articles-bootcamp-india	
August 2, 2021	Whistle Masters Branded Content on Facebook and Instagram	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/whistle-masters-branded-content-facebook-instagram	
August 2, 2021	Revenue recipe: Mark Wiens’ bite-sized content | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/mark-wiens-bite-sized-content	
July 27, 2021	Meta Partners with Meedan Digital Health Lab to Help Fact-Checkers Debunk Health Misinformation	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-partners-with-meedan-digital-health-lab-to-help-fact-checkers-debunk-health-misinformation	
July 26, 2021	Meet the Facebook HBCU Summer News Fellows	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/meet-the-facebook-hbcu-summer-news-fellows	
July 23, 2021	Real Madrid’s Instagram Fan Engagement and Monetization Strategies Push the Club Past 100 Million Followers	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/real-madrid-surpasses-100-million-followers	
July 22, 2021	Our new Community Standards e-course will help you avoid violations that could harm your monetization opportunities	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/new-community-standards-e-course	
July 21, 2021	Announcing the Video Business Accelerator in Latin America	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/video-business-accelerator-latam	
July 20, 2021	Creator Spotlight: Cameron J Henderson | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-cameron-henderson	
July 19, 2021	The Facebook Journalism Project LATAM Video Business Accelerator Program Terms & Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/video-business-accelerator-terms-conditions	
July 14, 2021	Investing $1 billion in the creator community	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/investing-one-billion-in-the-creator-community	
July 14, 2021	How 8 Emerging Creators and Publishers Utilize In-Stream Ads to Grow Their Audience and Earnings	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-creators-utilize-in-stream-ads-to-grow-audience-earnings	
July 1, 2021	A traditional media company monetizing popular movie classics	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/viva-philippines	
July 1, 2021	TheSoul Publishing: Super Bowl LV is crafting time	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/super-bowl-lv-is-crafting-time	
June 30, 2021	How Two Southeast Asian Creators Use Facebook Live and Stars to Engage Fans and Earn Revenue | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-two-southeast-asian-creators-use-facebook-live-and-stars-to-engage-fans-and-earn-revenue	
June 30, 2021	Facebook’s Fact-Checking Partners Fight Misinformation in Spanish	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/programs/third-party-fact-checking/spanish-misinformation	
June 29, 2021	6 Journalists Reflect on the Facebook Community News Project	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/six-journalists-reflect-on-the-facebook-community-news-project	
June 28, 2021	Dat Viet paves the way with a Facebook-First strategy	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/datviet-facebook-first-strategy	
June 28, 2021	ViacomCBS Embraces Digital-first Content	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/viacomcbs-facebook-first-programming-increased-revenue	
June 25, 2021	Facebook Partner Voices: Ryan Serhant	SUCCESS STORIES		https://www.facebook.com/formedia/blog/facebook-partner-voices-ryan-serhant	
June 25, 2021	Keilidh MUA Launches New Product Line Via Paid Online Events	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/keilidh-mua-launches-new-product-line-via-paid-online-events	
June 20, 2021	Facebook Journalism Project and IJNet Launch a Toolkit for Reporting on Refugee Communities	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-journalism-project-and-ijnet-launch-a-toolkit-for-reporting-on-refugee-communities	
June 17, 2021	How In-Stream Ads Helped Makeup Artist Tattisbeautypro Increase Her Video Earnings by 4x | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-in-stream-ads-helped-makeup-artist-tattisbeautypro-increase-her-video-earnings	
June 15, 2021	How Facebook understands news quality	PROGRAM IMPACT	JOURNALISM	https://www.facebook.com/journalismproject/learn/how-we-understand-news-quality	
June 15, 2021	Amplifying Indigenous voices in Canada: Welcoming two News Fellows	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/amplifying-indigenous-voices-in-canada-welcoming-two-news-fellows	
June 15, 2021	How Facebook reduces problematic content	BEST PRACTICES		https://www.facebook.com/formedia/blog/reducing-problematic-content	
June 15, 2021	How Facebook recommends news content	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/learn/recommending-content	
June 15, 2021	Dam Vinh Hung’s winning content strategy	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/dam-vinh-hungs-winning-content-strategy	
June 15, 2021	Following Facebook’s Community Standards	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/learn/community-standards-for-news-publishers	
June 15, 2021	How Facebook Feed works for publishers	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/learn/news-feed-for-publishers	
June 15, 2021	8 myths about the news industry and Facebook	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/learn/correcting-the-record	
June 15, 2021	Announcing a Mentorship Program for Mexican Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programadementorias	
June 15, 2021	What publishers need to know about fact-checking on Facebook	BEST PRACTICES		https://www.facebook.com/formedia/blog/third-party-fact-checking-publisher-faqs	
June 15, 2021	How Facebook identifies news content	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/learn/how-we-identify-news-content	
June 11, 2021	Facebook 2021 HBCU Summer News Fellowship	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/2021-hbcu-summer-news-fellowship	
June 8, 2021	Creator Spotlight: Team2Moms | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-team2moms	
June 7, 2021	Olympique de Marseille Leverages Long-Form Archive Content to Increase In-Stream Ads Revenue	ANNOUNCEMENTS		https://www.facebook.com/formedia/success-stories/olympique-de-marseille-leverages-long-form-archive-content-to-increase-in-stream-ads-revenue	
June 4, 2021	This Facebook Live concert series helped raise millions of dollars and thousands of meals during COVID lockdown	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/bayanihan-musikahan-donate-button-live-concert-covid	
June 4, 2021	Expanding Revenue Lift for Instant Articles More Broadly	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/expanding-revenue-lift-for-instant-articles-more-broadly	
June 4, 2021	Superjeew scores the popular vote with Facebook Messenger Bot	ANNOUNCEMENTS		https://www.facebook.com/formedia/success-stories/superjeew-tv-show-vote-facebook-messenger-bot	
June 3, 2021	TB12 Is Also Winning on Instagram	ANNOUNCEMENTS		https://www.facebook.com/formedia/success-stories/tb12-is-also-winning-on-instagram	
June 3, 2021	8 Journalists Join the NABJ-Facebook Fact-Checking Fellowship Program	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/third-party-fact-checking-2021-nabj-fellowship-program	
June 3, 2021	How to build an international audience: Marion Grasby’s recipe for success	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/marion-grasby-international-audience-development-content	
June 3, 2021	Rights Manager Now Offers Insights for Images	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/rights-manager-now-offers-insights-for-images	
June 2, 2021	ESPN Quadruples Facebook Video Revenue With Expansion of Short-Form Ads Product	ANNOUNCEMENTS		https://www.facebook.com/formedia/success-stories/espn-quadruples-facebook-video-revenue-with-expansion-of-short-form-ads-product	
June 1, 2021	How Meta’s third-party fact-checking program works	PROGRAM IMPACT		https://www.facebook.com/formedia/blog/third-party-fact-checking-how-it-works	
May 26, 2021	Creator Spotlight: Asian Pacific American storytellers you should know	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-asian-pacific-american-storytellers-you-should-know	
May 25, 2021	How a fitness trainer used Facebook and Instagram to build a community and start a business	ANNOUNCEMENTS		https://www.facebook.com/formedia/success-stories/adriana-meaury-builds-community-of-millions	
May 24, 2021	How Mario Aguilar used Facebook to build a community of over 18 million people	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-mario-aguilar-built-a-community	
May 24, 2021	Going global: How Viva La Dirt League built an international audience | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/going-global-how-viva-la-dirt-league-built-an-international-audience	
May 21, 2021	Insight-driven comedy content delivers big revenue and bigger laughs	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/faptv-insight-driven-content-development-creator-studio	
May 21, 2021	FC Barcelona Uses Instagram Reels to Build Community and Drive Revenue Through Short-Form Video	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/fc-barcelona-instagram-reels	
May 18, 2021	Announcing the Reuters and Facebook Journalism Project e-Learning Course for Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/training/reuters-digital-journalism-course	
May 18, 2021	Facebook News rolls out in Germany	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-news-germany	
May 14, 2021	GiveMeSport Shifts Video Strategy to Boost Sustainable Revenue Via In-Stream Ads	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/givemesports-boosts-sustainable-revenue	
May 13, 2021	How Fox Sports MX achieved success with their New Page	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/fox-sports-mx-achieves-success	
May 4, 2021	Discover how MTV Lebanon increased their fan base and engagement during Ramadan	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/mtv-lebanon-increased-fanbase-ramadan	
May 4, 2021	How CollegeHumor Monetized Their Existing Content And Grew Their Business With In-Stream Ads	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/collegehumor-monetized-existing-content-grew-business	
April 29, 2021	Creating More Opportunities for Independent, Local Writers to Thrive	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/apply-platform-independent-writers	
April 29, 2021	Local Journalism Application Terms and Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/independent-writers-application-terms-conditions	
April 29, 2021	How Boca Juniors connected with fans to increase ROAS	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-boca-juniors-increased-roas-by-42x	
April 28, 2021	Adepa and Facebook Launch ‘Evolución 2021’ With a Renewed Focus on Digital Transformation in Argentina	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/adepa-evolucion	
April 27, 2021	Facebook Journalism Project and WAN-IFRA Launch The Cultural Ignition Guide to Help Activate Cultural Change for News Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/wan-ifra-latam-cultural-change-program-guide	
April 26, 2021	Facebook Unveils the Participants and Coaches for its Nordic Accelerator Program	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/nordics-2021-participants	
April 26, 2021	The Masked Singer Germany	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-masked-singer-reached-12-million-views	
April 26, 2021	Listen to Full-length Songs from Spotify on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/songs-from-spotify-on-facebook	
April 20, 2021	30 North American Newsrooms Join the Facebook Accelerator	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/north-america-2021-participants	
April 16, 2021	10 Benelux Publishers to Participate in the Facebook Accelerator	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/benelux-2021-participants	
April 16, 2021	Meet the septuagenarian creator that reached millions of followers sharing recipes on Facebook	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/mrs-angela-reached-millions-of-followers	
April 15, 2021	Apply now: Newsroom & Business Transformation APAC 2021	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/accelerator-2021-wanifra-nbta	
April 13, 2021	Facebook News rolls out local news section in UK	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-news-rolls-out-local-news-section-in-uk	
April 5, 2021	How Desimpedidos broke their own engagement and conversion records with the "Até Eu Faria" Facebook series	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-desimpedidos-broke-their-own-engagement-and-conversion-records-with-the-at-eu-faria-facebook-series	
April 1, 2021	Facebook Partner Voices: Sky Sports	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-partner-voices-sky-sports	
March 31, 2021	15 Publishers Selected for Audience Analytics Accelerator in Latin America	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/audience-analytics-accelerator-latam-participants	
March 30, 2021	SBT increases In-Stream Ads revenue by 375% with a new video strategy	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/sbt-increases-in-stream-ads-revenue-by-375-with-a-new-video-strategy	
March 30, 2021	A deep-dive into the new Pages experience	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/deep-dive-into-the-new-pages-experience	
March 26, 2021	Facebook Partner Voices: UFC	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-partner-voices-ufc	
March 26, 2021	Facebook Journalism Project Commits Additional $8 Million Over 3 Years to Support Canadian Journalism	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/8-million-canadian-journalism	
March 23, 2021	Test. Learn. Earn. How A/B testing experiments can help drive an increase in video performance	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/test-learn-earn-a-b-testing-can-help-drive-video-performance	
March 18, 2021	How Supercar Blondie became the most watched Page on Facebook	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-supercar-blondie-became-the-most-watched-page-on-facebook	
March 16, 2021	Helping creators earn more and diversify their revenue on Facebook	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/helping-creators-earn-more-and-diversify-their-revenue-on-facebook	
March 16, 2021	Supporting Independent Voices	ANNOUNCEMENTS		https://www.facebook.com/formedia/supporting-independent-voices	
March 16, 2021	Expanding Facebook’s News Page Registration across Central and Eastern Europe	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/news-page-registration-europe-expansion	
March 12, 2021	HBCU Students and Recent Grads Can Apply to Participate in Summer News Fellowship	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/hbcu-summer-news-fellowship	
March 12, 2021	Facebook HBCU Summer News Fellowship Program Terms and Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/hbcu-summer-fellowship-terms-and-conditions	
June 30, 2021	Secret Sofa: Tell everyone	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/secret-sofa-tell-everyone	
March 10, 2021	Together Against Covid-19 Misinformation: A New Campaign in Collaboration with the WHO	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/together-against-covid-19-misinformation-a-new-campaign-in-partnership-with-the-who	
March 3, 2021	Facebook Brings News Accelerator Program to Benelux Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/benelux-reader-revenue-2021	
March 3, 2021	The Facebook Journalism Project Accelerator Programs in North America Terms & Conditions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/north-america-accelerator-programs-terms-conditions-2021	
March 3, 2021	Apply to Facebook’s North American Subscriptions and Memberships Accelerators	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/north-america-memberships-subscriptions-programs	
March 1, 2021	Facebook News coming to Germany in May 2021	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-news-accelerator-germany	
February 26, 2021	Facebook Launches Initiative to Counter Nordic News Deserts	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/accelerator-nordics-reader-revenue	
February 25, 2021	Recap: Celebrating Black History Month with VidCon Now	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/recap-celebrating-black-history-month-with-vidcon-now	
February 23, 2021	The Meta Journalism Project Accelerator Program Terms & Conditions for Publishers in Africa, Asia, Europe, Latin America and The Middle East	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/africa-asia-europe-latin-america-middle-east-accelerator-programs-terms-conditions-2021	
February 19, 2021	Paid online events help a theater earn money during a pandemic	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/teatro-san-carlo-paid-online-events	
February 18, 2021	News Feed Today: A Guide for News Publishers	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-news-feed-for-news-publishers	
February 18, 2021	Announcing We The Culture	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/we-the-culture	
February 17, 2021	Facebook and INMA Launch Audience Analytics Accelerator in Latin America	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programs/accelerator/audience-analytics-accelerator-latam	
February 17, 2021	The Value of News on Facebook	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/news-australia-decision	
February 17, 2021	2020 MTV EMAs hit the right notes with Facebook & Instagram	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/2020-mtv-emas-hit-the-right-notes-with-facebook-instagram	
February 16, 2021	FOPEA and Facebook Journalism Project renew program in Argentina	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/fopea-lab-2021	
February 12, 2021	Promoting authoritative information about COVID-19 vaccines	ANNOUNCEMENTS		https://www.facebook.com/formedia/promoting-authoritative-information-about-covid-19-vaccines	
February 10, 2021	Facebook and Fundación Gabo Offer Online Training for Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/fundacion-gabo-webinars	
February 10, 2021	Facebook partners with WAN-IFRA to support newsrooms in the Middle East	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-partners-with-wan-ifra-to-support-newsrooms-in-the-middle-east	
February 9, 2021	How X-Factor Indonesia Held Auditions Online	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/How-X-Factor-Indonesia-Held-Auditions-Online	
February 8, 2021	Lessons From Thailand’s Master of Monetization, Nanake555	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/nanake-thailand-master-of-monetization	
February 2, 2021	How Luna Maya Re-engaged Fans With a Video-First Strategy	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-luna-maya-re-engaged-fans-with-a-video-first-strategy	
February 2, 2021	Announcing the new Pages experience	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/new-pages-experience	
February 1, 2021	17 Black-led News Organizations to Support	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/black-history-month-2021	
January 28, 2021	Online To On-Air. Woody Turns Top Fans Into A TV Audience	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/woody-turns-top-fans-into-tv-audience	
January 27, 2021	Reporting the News Live on Facebook	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/facebook-live-for-newsrooms	
January 27, 2021	Tools to Use on Facebook Live: Rooms to Live, Premieres & Live Clipping	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-live-tools-rooms-premieres	
January 27, 2021	Two Ways to Go Live on Facebook	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/how-to-go-live-on-facebook	
January 27, 2021	In-Stream Ads: Eligibility and Optimization	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/in-stream-ads-eligibility-optimization	
January 27, 2021	Using Video on Facebook for News Reporting	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/using-video-news-reporting	
January 27, 2021	Tools to Use with Video on Facebook: Series and Playlists	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/series-playlists	
January 27, 2021	Tools to use with Video on Facebook: Bulk Features and Organic Video Testing	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/bulk-features-organic-video-testing	
January 27, 2021	Tools to Use on Facebook Live: Live Polling, Comment Moderation & Graphics	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/polling-moderation-graphics	
January 27, 2021	How to Optimize Facebook Live Video	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/optimize-facebook-live-video	
January 27, 2021	Monetizing Your Video Content on Facebook	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/monetizing-news-video-content	
January 27, 2021	How to Optimize Video-on-Demand on Facebook	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/tools/video/video-optimization-on-facebook	
January 26, 2021	One Funny Mother grows earnings by 65% with in-stream ads for FB Live	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/one-funny-mother-in-stream-ads-facebook-live	
January 22, 2021	TNT Sports Chile (formerly known as CDF) triples its earnings by betting on the production of longer videos formats	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/tnt-sports-chile-formerly-known-as-cdf-triples-its-earnings-by-betting-on-the-production-of-longer-videos-formats	
January 20, 2021	Facebook Training Program Reaches 1,000 Journalists in Turkey	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/2020-training-turkey-journalists	
January 19, 2021	Training Resources to Aid in Fact-Checking Health Misinformation	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/programs/third-party-fact-checking/fact-checking-health-misinformation-resources	
January 19, 2021	How The Professor Built a Holistic Social Revenue Strategy | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/the-professor-succeeds-strategy-across-facebook-and-instagram	
January 19, 2021	How Brazilian Public Figures Aligned with NGOs Used Facebook Live to Lift Black Voices	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-brazilian-public-figures-aligned-with-ngos-used-facebook-live-to-lift-black-voices	
January 18, 2021	Facebook and AUC launch Egypt COVID-19 Media Relief Project	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/egypt-covid-19-media-relief-project	
June 30, 2021	Success Stories: SportsCenter’s Top 10 | Facebook for Media	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/espn-sctop10	
January 8, 2021	Italy-based publisher Cookist Wow engages an audience of 18 million with Facebook	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/italy-based-publisher-cookist-wow-engages-an-audience-of-18-million-with-facebook	
January 4, 2021	How Tastemade Leveraged Library Content to Engage Audiences in Quarantine	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/how-tastemade-leveraged-library-content-to-engage-audiences-in-quarantine	
December 28, 2020	Travel vlogger uses Stars to monetize live tours of Italy	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/idressitalian-builds-community	
December 27, 2020	Julian Edelman: Moving the Markers on Social	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/julian-edelman-moving-the-markers-on-social	
December 22, 2020	Martha’s Vineyard African American Film Festival Brought to Life Exclusively on Facebook in 2020	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/marthas-vineyard-african-american-film-festival-brought-to-life-exclusively-on-facebook-in-2020	
December 21, 2020	Tired ‘N Tested utilizes Facebook video to connect with fans and build business	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/tired-n-tested-connects-with-fans	
